dataset IDTW Inf IP ISD LCSS LLR_DLS LLR_LK LNP MAN MIN MPdist NCD NP P PACF PC2 PDC PIC SAX SDTW shapeDTWHOG1D shapeDTWRawSub STS TAM TDCDTW TDHDTW TDSDTW TQ
OliveOil 16.7 16.7 16.7 63.3 83.3 50.0 50.0 63.3 16.7 13.3 10.0 50.0 16.7 16.7 20.0 13.3 50.0 50.0 73.3 13.3 10.0 13.3 16.7 16.7 13.3 16.7 13.3 66.7
OSULeaf 66.1 47.1 35.5 32.2 37.2 34.7 34.7 41.7 45.5 48.3 36.8 74.0 47.5 47.5 47.5 47.9 56.6 66.1 50.0 52.5 13.2 28.9 60.7 24.4 38.0 43.8 40.1 50.4
PhalangesOutlinesCorrect 30.8 27.2 33.0 36.0 36.0 34.7 34.7 32.2 24.8 25.1 28.2 43.7 31.5 31.5 25.9 23.9 45.5 39.7 44.6 23.7 26.1 23.5 21.0 31.0 24.9 27.0 24.2 41.0
Phoneme 83.4 92.9 78.8 77.0 78.2 77.5 77.5 78.1 89.4 91.6 85.3 92.8 87.4 87.4 82.6 89.1 78.5 85.8 96.1 79.4 73.6 76.1 91.6 71.8 75.5 77.7 75.5 94.9
PickupGestureWiimoteZ 38.0 62.0 54.0 66.0 30.0 70.0 70.0 90.0 38.0 52.0 32.0 74.0 36.0 36.0 80.0 44.0 76.0 80.0 60.0 48.0 32.0 28.0 90.0 50.0 30.0 32.0 34.0 58.0
PigAirwayPressure 93.8 94.2 63.0 40.4 91.3 58.7 58.7 43.3 94.7 94.7 13.9 98.1 81.2 81.2 82.2 94.2 65.9 78.8 94.7 91.3 73.1 86.5 97.1 79.3 89.9 90.4 89.9 92.3
PigArtPressure 88.5 88.5 9.1 19.7 74.0 23.1 23.1 15.4 87.0 88.0 0.0 90.4 36.1 36.1 41.8 87.5 40.9 61.1 88.9 96.2 6.2 49.0 92.3 49.5 75.5 72.6 75.5 88.0
PigCVP 92.3 92.8 35.1 33.7 78.4 41.3 41.3 31.7 90.9 91.8 10.6 96.2 35.1 35.1 27.9 91.8 76.4 58.2 90.9 90.4 34.6 58.2 95.2 54.8 85.1 81.7 83.2 92.8
PLAID 42.3 75.6 40.4 46.7 42.6 41.7 41.7 56.2 41.3 51.8 44.9 67.4 35.9 35.9 36.1 46.6 7.8 45.3 66.7 32.2 16.6 24.0 63.7 31.3 16.2 14.9 16.6 52.5
Plane 15.2 3.8 1.9 4.8 19.1 1.0 1.0 5.7 3.8 3.8 1.0 73.3 3.8 3.8 2.9 3.8 50.5 1.9 19.0 3.8 0.0 0.0 2.9 0.0 0.0 0.0 0.0 4.8
PowerCons 14.4 17.8 26.1 17.8 13.9 18.3 18.3 35.6 6.1 12.2 11.1 27.2 22.2 22.2 29.4 6.7 21.7 28.9 12.8 15.0 12.2 11.1 21.7 12.8 11.7 11.7 10.6 17.2
ProximalPhalanxOutlineAgeGroup 23.9 21.0 24.9 22.4 57.1 22.4 22.4 22.4 21.5 19.5 20.5 53.2 22.4 22.4 21.5 21.5 30.2 22.0 54.1 21.5 21.0 23.4 18.0 22.0 21.9 20.5 21.5 32.7
